trail_name,latitude,longitude
Lötschberg-Panoramaweg,46.4522800853658,7.709184944646535
Chemin des Gorges de Covatannaz,46.81582320191644,6.529753698798637
Mittelbünden-Panoramaweg,46.77832129691847,9.684364535111344
Sentier du Rhône,46.1925471495413,6.064559970213133
Klettgau-Rhein-Weg,47.74646642037624,8.571482807475059
Hundwiler Höhi,47.33177804596463,9.312154387940184
Walliser Sonnenweg,46.32908041069827,7.714181261142586
Sardona-Welterbe-Weg,46.94375185600863,9.239493346284167
ViaSett,46.543420729744035,9.636180687597262
Sentiero del Monte Gambarogno,46.11106502292998,8.824128745234232
Via Albula/Bernina,46.503489249794946,9.845448904346037
Sentiero Cristallina,46.45246801904836,8.52860971454815
Nidwaldner Höhenweg,46.85827462498329,8.397568305405397
ViaGottardo,46.699858052816886,8.595387308418603
Gantrisch-Panoramaweg,46.736457031724115,7.393972018769488
Churfirsten-Weg,47.15633311058692,9.314918559879471
Gamplüt-Säntis-Weg,47.23747609949616,9.368315355762093
Simplon-Sirwoltusee-Weg,46.21261961430608,8.017881324366279
Wasserfallen-Rundweg,47.37169130283948,7.697220314734174
Thurgauer Tannzapfenweg,47.40198128551373,8.952033486066798
Margunet,46.66950588482654,10.230659966298303
ViaSuworow,46.923366604397174,8.768134199439249
Trans Swiss Trail,46.81092048718831,8.023335219026547
7-Gipfel-Tour Flumserberg,47.07395991911391,9.234296170020295
Stockhorn-Panoramaweg,46.69037265260799,7.535366525777479
SWL249.RT,46.47551200248765,8.388151973193402
Horneggli-Panoramaweg,46.48915593428504,7.339069478876713
Pfad der Pioniere Parc Ela,46.662345736896235,9.629427622101435
Schabziger Höhenweg,47.09070792503738,9.105065523726715
Quinten Seeweg,47.13259282882692,9.27003670797804
5-Seen-Wanderung Pizol,46.983947141149585,9.400394643618196
Murgseen Rundweg,47.042199962161845,9.174920726425176
Schanfigger Höhenweg,46.80986017967459,9.672072135651952
Sentier du Salève,46.165097168036915,6.194911732597835
Giro delle Rovine del Castelliere,46.18938544805308,8.742486867036614
Sentiero Salèi e Pizzo Zucchero,46.214891300921124,8.563486332326718
Senda Val Champagna,46.53017018706756,9.908339969595
Senda Piz Clünas,46.80964627731944,10.238104639836699
Chemin de la Courtine,47.3032900953534,7.1548768593733465
Walserweg Gottardo,46.48733780644023,8.549399201304109
Randa Hängebrückenweg,46.100428599205884,7.788753420828114
Bisses de Lentine et de Mont d'Orge,46.2385125727717,7.3478208438567
Schönberg-Weg,47.11640150008647,9.597348523351299
Braunwald-Oberblegisee-Weg,46.9663551961503,9.011289493696411
Thurgauer Napoleon-Weg,47.63819136785783,9.097033397535851
Sentier Nature Grand Lausanne,46.53101546892455,6.615013684652994
Sentier des Bornes,46.83099594319454,6.447803097827404
Höhenweg Maderanertal,46.78262756285084,8.752012714209208
Sentier du Creux du Van,46.9453406329334,6.7325226726677725
Nationalpark-Panoramaweg,46.664634401245074,10.21037451921988
Giro della Valle del Salto,46.25664740696698,8.715878260332182
Urwaldweg Bödmeren,46.978328865889274,8.839108790994722
Reiatweg,47.777432414275914,8.662372893833648
Zürich-Zugerland-Panoramaweg,47.26729438990999,8.527589821415136
Weissenberge-Rundweg,46.966816309034115,9.183395913220277
Dreibündenstein Panoramaweg,46.79967453443246,9.475815024210235
Sentier des Toblerones,46.416556053714075,6.25621224742328
Höhenweg Almagelleralp,46.106436366222155,7.9656138831163075
Holzflue-Rundweg,47.032200523297895,9.108503986431124
Pragelpass-Weg,46.99070904904354,8.851510775442433
Fürstin-Gina-Weg Malbun,47.08403385405593,9.612068119773053
Obwaldner Höhenweg,46.79507976105244,8.220052207167097
ViaFrancigena,46.44866623851832,6.859340310280691
Furka-Höhenweg,46.59225135334095,8.461321661820973
Fürstensteig,47.144050394810534,9.551165160512735
Ellhorn Rundweg,47.052731182963974,9.484832451175055
Panorama Rundweg Thunersee,46.70309145953565,7.733712017619772
Nordspitze Panoramaweg,47.80303613414405,8.58890848494475
Walliser Steppen- und Föhrenweg,46.31646941990631,7.924977922862251
Hirzli-Rundweg,47.131187770581306,9.009624151195283
Wildheupfad,46.92322422944597,8.644672893965613
Stählibuckweg,47.55428045586434,8.978050454547963
Kärpfbrugg-Rundweg,46.94757368670418,9.096856540378694
Braunwald Panoramaweg,46.95714035566119,8.988972883143223
Kinderpfad Champlönch,46.67078455510036,10.188838537397121
Elm-Höhenweg,46.913775398455215,9.132250572699746
Senda Crap la Tretscha,46.691952328894004,9.560234677229465
La Vy aux Moines,46.94501862069788,6.575584102415875
ViaJacobi,46.81761299511206,6.9793387896059
Sigriswiler Rothorn Panoramaweg,46.73488945366038,7.7538106545320264
Ahornen-Rundweg,47.0945748710178,8.998706971187099
